title	score	num_comm	created	content	sources
Parts of southern Alaska are under a tsunami warning after a reported magnitude 7.4 earthquake off Sand Point, Alaska	4275	170	2020-10-20 01:23:20	None	None
Australian police arrest 44 men and rescue 16 children in child abuse investigation	4122	117	2020-10-23 10:45:11	None	None
Missing hiker found in Zion National Park, family says	4106	411	2020-10-19 00:10:49	None	None
Vatican reports positive coronavirus case at pope's residence - Catholic News Service	3811	121	2020-10-19 17:44:03	None	None
Environmental groups sue over Portland tear gas use	3654	307	2020-10-21 23:08:14	None	None
U.S. Postal Service has delivered more than 100 mln ballots	3551	388	2020-10-23 01:16:30	None	None
As coronavirus surges across the US, only 2 states are trending in the right direction	3493	434	2020-10-18 21:03:45	None	None
State of Iowa told no, you can’t use $21m coronavirus federal aid to help fund your $52m Workday roll-out	3472	290	2020-10-21 21:42:03	None	None
80,000 furloughed as bus industry grinds to a halt	9381	684	2020-10-25 06:43:43	None	None
Belarus: Protesters keep up push for president's resignation	3814	31	2020-10-24 21:15:12	None	None
The US topped 1,000 daily Covid-19 deaths and experts worry the worst of the fall surge is yet to come	3403	620	2020-10-22 15:09:48	None	None
Health officials confirm 1,656 coronavirus cases in Michigan schools	3389	229	2020-10-19 23:32:24	None	None
NYC to join Seattle, Portland in suit over federal funding	3369	290	2020-10-22 21:10:03	None	None
Arkansas Senate candidate dismissed from high school over KKK costume, records show	3214	250	2020-10-22 22:49:44	None	None
A California Black Lives Matter chapter is fundraising to get some of its members trained in gun safety	2992	1078	2020-10-22 04:30:45	None	None
Wisconsin judge reimposes COVID restrictions as U.S. nursing homes sound alarm	2966	171	2020-10-20 19:18:47	None	None
Ballot drop box set on fire in California; arson investigation underway	2809	362	2020-10-20 01:05:29	None	None
Pope wears mask for first time at public service	2800	115	2020-10-20 19:18:21	None	None
Pioneering drummer Viola Smith has died, aged 107	2894	65	2020-10-24 18:32:22	None	None
Texas airman is arrested, charged with uploading child pornography	2673	162	2020-10-23 08:31:39	None	None
Zookeeper mauled by bears in Chinese wildlife park in front of horrified visitors	2626	385	2020-10-19 14:00:35	None	None
Two women stabbed under the Eiffel Tower in suspected racist attack in Paris	2575	505	2020-10-21 16:58:13	None	None
10 states reported their highest single-day coronavirus case counts last week	2559	250	2020-10-19 17:56:58	None	None
Scott Peterson, who killed pregnant wife, faces death penalty at resentencing	2557	490	2020-10-24 01:19:10	None	None
Pastor accused of exploiting 85-year-old woman for $36,440	2520	184	2020-10-21 07:45:35	None	None
2 staff members to Sen. Loeffler test positive for COVID	2935	124	2020-10-24 22:52:24	None	None
First-ever giant 'murder hornet' nest in U.S. found in Whatcom County	2245	302	2020-10-23 20:03:04	None	None
Video shows off-duty cop push woman at Jersey Shore bar. Fellow cops accused of making a scene.	2210	262	2020-10-22 16:58:42	None	None
Proud Boy brawler Tusitala ‘Tiny’ Toese sentenced to 6 months in Portland jail	2203	433	2020-10-21 03:05:48	None	None
Exclusive: 'Dumb mistake’ exposed Iranian hand behind fake Proud Boy U.S. election emails - sources	2069	239	2020-10-23 00:42:01	None	None
U.S. to Accuse Google of Protecting Illegal Monopoly	2043	427	2020-10-20 16:34:02	None	None
