title	score	num_comm	created	content
Trump less trusted across advanced economies than China's President Xi	49484	3008	2020-10-12 05:33:06	
PM Trudeau, other leaders condemn white supremacy in wake of Trump's refusal to do so	49358	2962	2020-10-01 21:55:07	
Liberal Democrats are today set to become the first major national party to commit to a universal basic income for all UK residents.	49355	2161	2020-09-26 14:26:01	
Locals warn derelict barge 'Nabarima' about to spill 55 million gallons of oil and no one is helping	49377	2369	2020-10-18 02:40:01	
Billionaires' wealth rises to $10.2 trillion amid Covid crisis	49327	5216	2020-10-07 09:21:40	
‘Justice for Joyce’: Family of Indigenous woman who died in Quebec hospital announces lawsuit	49308	1476	2020-10-03 17:28:28	
Egypt police ‘using dating apps’ to find and imprison LGBT+ people	48858	2688	2020-10-02 11:17:09	
Conservatives turn on Boris Johnson over handling of UK’s Covid-19 crisis	48076	2181	2020-10-04 09:18:55	
‘A Cancer’: Former Australian Prime Minister, Kevin Rudd Calls for Royal Commission Into ‘Murdoch monopoly’	47556	917	2020-10-11 15:42:31	
Spain's Supreme Court rules food delivery riders are employees, not freelancers	45889	2618	2020-09-28 17:08:56	
‘Huge stupid Americanism’: Italian governor rails against Halloween as he imposes 31 October curfew	45758	4181	2020-10-17 16:02:15	
100,000 march in Belarus capital on 50th day of protests	45652	722	2020-09-27 22:18:09	
Chilean police throw boy, 16, off bridge during protests | Chile	45373	1160	2020-10-03 21:58:30	
"Study Warns Radicalized Right-Wingers Uniting Online—Many Inspired by Trump—Threaten Australian Democracy | The researchers urge Australian leaders to safeguard the nation's political system ""from these very insidious and ongoing threats."""	44660	3222	2020-10-10 16:37:19	
A Uighur Woman Who Was At Risk Of Being Forcibly Sent Back To China And Detained Has Arrived Safely In The US	43733	2305	2020-09-28 16:04:36	
Boris Johnson is reported to have offered jobs at the head of two of Britain’s most important media organisations to two outspoken critics of the BBC. The provocative choice of two such hardline anti-BBC voices has prompted anger and dismay across the broadcasting and entertainment industry.	43616	2162	2020-09-27 14:32:17	
Man sets himself on fire on Putin's birthday in Russia's 2nd self-immolation in a week	43596	1279	2020-10-08 23:18:48	
Boris Johnson's Government accused of ‘beyond laughable’ hypocrisy for launching campaign urging other countries to obey rule of law	42460	1519	2020-09-29 12:44:08	
"'Democracy Has Won': Year After Right-Wing Coup Against Evo Morales, Socialist Luis Arce Declares Victory in Bolivia Election | ""Brothers and sisters: the will of the people has been asserted,"" Morales declared from exile in Argentina."	42391	4908	2020-10-19 14:51:33	
Former Australian Prime Minister Kevin Rudd launches petition calling for a Royal Commission into the Rupert Murdoch Newscorp media monopoly	42315	1128	2020-10-10 06:49:14	
Air pollution killed nearly a half-million newborns last year, study says	45928	1441	2020-10-21 23:57:28	
"Letting COVID-19 spread to achieve herd immunity is ""unethical,"" WHO chief says"	41754	3069	2020-10-12 22:10:34	
Man decapitated near Paris and anti-terror probe launched, prosecutors say	41363	6946	2020-10-16 21:06:46	
New Zealand Stamps Out the Virus. For a Second Time.	40489	2842	2020-10-09 03:16:29	
"Paris could be put on ""maximum alert,"" lockdown as ICU bed occupancy hits critical level"	39971	1544	2020-10-03 00:13:34	
Trump cuts aid for pro-democracy groups in Belarus, Hong Kong and Iran	39962	2799	2020-09-25 00:59:45	
Exxon’s Plan for Surging Carbon Emissions Revealed in Leaked Documents - Exxon has been planning to increase annual carbon-dioxide emissions by as much as the output of the entire nation of Greece	39728	1470	2020-10-05 19:22:47	
Paris to shut bars and raise alert to maximum	39589	1784	2020-10-05 03:03:08	
90 percent of coronavirus patients experience side effects after recovery, study finds	38938	2654	2020-09-30 07:55:19	
2020 Nobel Peace Prize awarded to the World Food Programme	38929	1368	2020-10-09 13:02:37	
Geneva Voters Agree to $25 Minimum Hourly Wage	38379	3139	2020-09-27 18:15:13	
Solar is now ‘cheapest electricity in history’, confirms IEA	37973	1988	2020-10-13 13:30:02	
Prince Harry urges US citizens to 'reject hate speech' and vote	37260	3257	2020-09-23 17:06:35	
Pope Francis calls for civil union law for same-sex couples, in shift from Vatican stance	37427	2399	2020-10-21 17:39:05	
Putin sends Trump a telegram to wish him speedy recovery from COVID-19: agencies cite Kremlin (Reuters)	36510	1930	2020-10-02 13:45:05	
Netherlands legalizes child euthanasia despite opposition from Christian parties	36081	3547	2020-10-15 06:28:05	
The UK is telling ministers to cozy up to the Biden camp, as Boris Johnson is 'writing off Trump' in the upcoming US election	35992	2191	2020-10-11 20:13:36	
Boris Johnson overruled scientists who told him to introduce a lockdown three weeks ago, while ignoring warnings that his plans won't stop the coronavirus	35064	1552	2020-10-13 18:41:54	
Armenia launches missile attacks on Azerbaijan's Ganja	33768	4624	2020-10-17 02:31:45	
Russian Intelligence Connected Bank Deposited $330 Million Into Deutsche Bank America	33722	1003	2020-10-01 23:40:21	
EU rejects Alexander Lukashenko Belarus leader's inauguration	33692	1177	2020-09-24 14:24:02	
Lawyer repeatedly mistaken for a defendant calls for compulsory anti-racism training	33285	1654	2020-09-26 16:57:08	
Pandemic 'Heroes' Pay the Price as Hospitals Cut Registered Nurses to Balance Budgets	32863	1691	2020-09-23 15:18:43	
Trudeau admits US heading for post-election “disturbances,” but won’t condemn Trump	32344	1786	2020-10-12 02:00:14	
29 million girls, women victims of modern slavery: report	32084	1381	2020-10-10 17:56:17	
For 10 days, Mars will shine the brightest it has since 2003	32075	624	2020-10-04 23:50:39	
France to ban use of wild animals in circuses, marine parks	31786	632	2020-09-29 14:59:44	
Electric cars have reached 61.5% market share in Norway followed by hybrids that make up another 27.4%	31209	1232	2020-10-08 00:22:26	
Cruise ships dismantled for scrap metal as pandemic sinks industry	30086	1756	2020-10-11 17:33:34	
World leaders urged to ban all trade in wild animals and birds for eating to prevent pandemics	30038	1268	2020-09-29 02:17:27	
Greece: Leader of neo-Nazi Golden Dawn group jailed for 13 years	29478	860	2020-10-15 15:44:13	
Support for Scottish independence soars in new poll	28169	2760	2020-10-16 15:33:18	
Indigenous woman records slurs by hospital staff before her death | Two women at Joliette hospital are heard calling her stupid and saying she's only good for sex and would be better off dead.	27954	2012	2020-09-30 23:28:43	
Berlin gives middle finger to anti-maskers in tourism agency ad	27841	700	2020-10-14 18:24:43	
Spain seeks law change to allow 16- and 17-year-olds to abort without parental consent	27120	1021	2020-10-08 14:03:35	
Women charged police lines and threw Molotov cocktails at officers in Mexico City during protests demanding the legalization of abortion in the majority Roman Catholic country. The protesters, clad in the green bandanas that have become the symbol of the pro-choice movement in Latin America	27003	1434	2020-09-29 22:49:23	
Indian opposition leaders arrested when they tried to visit the family of woman who was raped and had her body cremated by police at night against their wishes.	26405	1104	2020-10-04 14:18:27	
Revealed: BP And Shell Back Anti-Climate Lobby Groups Despite Pledges	26355	527	2020-09-29 16:41:52	
It is being described as one of the biggest attacks on art and antiquities in post-war German history, but it has taken more than two weeks to emerge. At least 70 artefacts were sprayed with an oily liquid on Berlin's Museum Island, a Unesco world heritage site that is home to five famous museums.	26047	1669	2020-10-21 14:29:17	
Germany to give $664M in aid to Holocaust survivors amid economic uncertainty	25238	2622	2020-10-15 04:21:31	
'Kid influencers' classed as child labour under new French law	24131	566	2020-10-08 17:27:33	
Gay men in Russia with surrogate children warned they face arrest: LGBT+ community draws breath as state investigators equate single fathers to baby traffickers	24092	756	2020-10-02 16:31:16	
